Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:17XY1uAyl0lrFqiMp1aQXO,"9 lives","mainstream sellout (life in pink deluxe)","mgk",2022-06-24,181496,57,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:47:12Z,"","Bad Boy/Interscope Records",0.561,0.939,4,-4.562,1,0.132,0.0219,0,0.0901,0.5,151.092,4
spotify:track:4UHyrGQCHu0Orh2utUxbNY,"fake love don't last (feat. iann dior)","mainstream sellout","mgk;iann dior",2022-03-25,143204,57,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:47:21Z,"мелодичный рэп","Bad Boy / Interscope",0.659,0.733,8,-4.878,1,0.0577,0.0226,0,0.205,0.763,146.053,4
spotify:track:70R3yxMofIQpUmLUFIzA6J,"in these walls (my house) (feat. PVRIS)","lockdown sessions","mgk;PVRIS",2022-03-02,168440,59,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:47:35Z,"","Bad Boy/Interscope Records",0.687,0.571,11,-9.671,0,0.0619,0.0129,0,0.0816,0.0395,115.911,4
spotify:track:6eu5juAZhsE7gNzcdf1mdA,"why are you here","mainstream sellout (life in pink deluxe)","mgk",2022-06-24,175776,57,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:47:58Z,"","Bad Boy/Interscope Records",0.559,0.889,10,-3.996,1,0.0432,0.00616,0,0.479,0.628,129.053,4
spotify:track:14UzhtAQyCRGsuSjInmiJi,"5150","mainstream sellout","mgk",2022-03-25,174848,58,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:48:06Z,"","Bad Boy / Interscope",0.535,0.94,11,-4.811,1,0.0973,0.000181,0.00134,0.0631,0.536,157.994,4
spotify:track:1F9kEuwT29fgqlovIclu81,"love race (feat. Kellin Quinn)","love race (feat. Kellin Quinn)","mgk;Kellin Quinn",2021-04-29,188779,58,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:48:16Z,"поп-панк","Bad Boy/Interscope Records",0.517,0.848,10,-4.054,1,0.0521,0.00581,0,0.214,0.429,95.906,4
spotify:track:3gr1pMLpDJGqErHhhl7dEO,"thought it was","on to better things","iann dior;Travis Barker;mgk",2022-01-20,172600,59,false,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:48:39Z,"мелодичный рэп,рэп-рок","10K Projects",0.695,0.504,4,-6.09,0,0.0304,0.147,0,0.111,0.197,90.018,4
spotify:track:3tBZ60j1jQ7NJm8IjelyQe,"emo girl (feat. WILLOW)","mainstream sellout","mgk;WILLOW",2022-03-25,159096,61,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:48:57Z,"","Bad Boy / Interscope",0.412,0.881,2,-3.502,1,0.087,0.00039,0.0000582,0.923,0.359,165.012,4
spotify:track:7uGBxHPuPrz9YvYssdcqhI,"Alone In The Studio With My Gun (feat. mgk, Kodak Black)","Tha Carter VI","Lil Wayne;mgk;Kodak Black",2025-06-06,172490,51,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:49:10Z,"рэп,хип-хоп","Lil Wayne PD",0.689,0.496,5,-9.333,1,0.322,0.45,0,0.201,0.581,76.959,4
spotify:track:5lM3HtMkk3JuFWLAEZc08H,"El Pistolero","Hotel Diablo: Floor 13 Edition","mgk",2024-07-05,158796,55,true,31egiz7zcix27fnsalaoiqrz5qzm,2025-07-24T16:49:31Z,"","Bad Boy/Interscope Records",0.46,0.83,10,-4.811,0,0.113,0.147,0,0.132,0.417,150.215,4
